OT,surgery_duration,schedule_day,simulation_day
3,35,8,36
1,68,2,30
5,1377,7,35
5,27,9,37
10,126,7,35
7,72,9,37
5,57,9,37
6,118,9,37
MRI,68,7,35
7,45,9,37
6,511,9,37
7,44,9,37
10,2191,8,36
5,286,1,29
MRI,61,8,36
4,85,9,37
10,206,7,35
5,162,9,37
9,132,9,37
1,73,9,37
2,57,8,36
2,73,10,38
8,883,9,37
6,64,10,38
9,1663,9,37
1,46,7,35
7,789,10,38
4,229,9,37
6,130,10,38
10,106,10,38
6,56,10,38
7,60,2,30
10,189,1,29
3,23,1,29
5,773,10,38
7,74,9,37
1,55,8,36
4,1446,10,38
MRI,65,11,39
7,87,9,37
2,40,7,35
3,214,11,39
1,52,10,38
4,150,11,39
3,288,11,39
10,175,11,39
MRI,48,11,39
4,106,11,39
8,1109,11,39
MRI,84,8,36
MRI,60,11,39
8,709,7,35
10,106,10,38
5,901,11,39
9,71,9,37
MRI,47,11,39
MRI,93,11,39
3,62,11,39
3,71,17,17
8,123,8,36
7,51,14,42
9,41,9,9
6,330,14,42
5,494,14,42
10,120,14,42
7,1001,14,42
6,519,14,42
10,82,14,42
7,78,15,43
MRI,66,15,43
3,38,15,43
5,186,15,43
MRI,59,15,43
2,112,15,43
3,72,15,43
MRI,41,15,43
5,350,15,43
7,58,15,43
10,95,15,43
8,722,15,43
7,45,15,43
MRI,76,15,43
3,109,24,24
9,2703,14,42
10,134,10,38
6,188,16,44
1,130,14,42
1,95,11,39
8,65,16,44
4,124,16,44
6,179,16,44
10,109,15,43
7,201,8,36
7,53,16,44
3,57,8,36
MRI,45,15,43
9,1013,16,44
7,50,15,43
4,90,16,44
8,144,16,44
2,58,17,45
7,120,17,45
MRI,46,15,43
6,144,16,44
4,175,17,45
6,90,17,45
6,130,17,45
8,726,10,38
5,1060,16,44
1,83,15,43
4,151,16,44
5,1202,17,45
10,144,14,42
MRI,41,18,46
7,54,17,45
MRI,57,18,46
6,412,18,46
MRI,52,18,46
3,301,18,46
8,364,18,46
MRI,53,18,46
4,173,17,45
MRI,52,11,39
4,1139,18,46
5,1174,18,46
3,34,18,46
3,95,18,46
MRI,40,18,46
MRI,73,18,46
