schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
3,3,5,0,5,0,10,5,5,2,4,0,4,2,9,3,0,1
3,3,5,0,5,0,10,5,5,2,4,0,4,2,9,3,0,1
3,3,5,0,5,0,10,5,5,2,4,0,4,2,9,3,0,1
3,3,5,0,5,0,10,5,5,2,4,0,4,2,9,3,0,1
3,3,5,0,5,0,10,5,5,2,4,0,4,2,9,3,0,1
3,3,5,0,5,0,10,5,5,2,4,0,4,2,9,3,0,1
3,3,5,0,5,0,11,5,5,2,4,0,4,2,10,3,9,1
3,3,5,0,5,0,11,8,5,2,4,0,5,3,10,5,9,1
3,3,5,0,5,0,11,9,5,2,4,0,5,3,10,6,9,1
3,3,5,0,5,0,11,11,5,2,4,0,5,3,10,8,10,1
3,3,5,0,5,0,11,11,5,2,4,0,5,3,10,9,10,1
3,3,5,0,5,0,11,11,5,2,4,0,5,3,10,10,10,1
3,3,5,0,5,0,11,11,5,2,4,0,5,3,10,10,10,1
3,3,5,0,5,0,11,11,5,2,4,0,5,3,10,10,6,1
3,3,5,0,5,0,11,8,5,2,4,0,5,3,10,6,6,0
3,3,5,0,5,0,11,8,5,2,4,0,5,3,9,6,6,0
3,3,5,0,5,0,11,8,5,2,4,0,4,3,9,6,6,0
3,3,5,0,5,0,11,8,5,2,4,0,4,3,9,6,0,0
3,3,5,0,5,0,11,7,5,2,4,0,4,3,9,6,0,0
3,3,5,0,5,0,11,6,5,2,4,0,4,3,9,6,0,0
3,3,5,0,5,0,11,6,5,2,4,0,4,3,9,6,0,0
3,3,5,0,5,0,11,6,5,2,4,0,4,3,9,5,0,0
3,3,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
3,3,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,10,6,5,2,4,0,4,3,9,5,0,0
4,4,5,0,5,0,11,6,5,2,4,0,4,3,10,5,9,0
4,4,5,0,5,0,11,9,5,2,4,1,5,3,10,4,9,1
4,4,5,0,5,0,11,10,5,2,4,3,5,3,10,4,9,1
4,4,5,0,5,0,11,11,5,2,4,4,5,3,10,4,10,1
4,4,5,0,5,0,11,11,5,3,4,2,5,3,10,4,10,1
4,4,5,0,5,0,11,11,5,3,4,4,5,3,10,4,10,1
4,4,5,0,5,0,11,10,5,4,4,4,5,3,10,5,10,1
4,4,5,0,5,0,11,9,5,4,4,4,5,3,10,5,6,1
4,4,5,0,5,0,11,9,5,3,4,2,5,3,10,4,6,1
4,4,5,0,5,0,11,8,5,3,4,2,5,3,9,4,6,1
4,4,5,0,5,0,11,8,5,3,4,2,4,3,9,4,6,1
4,4,5,0,5,0,11,8,5,3,4,2,4,3,9,3,0,1
4,4,5,0,5,0,11,8,5,3,4,2,4,3,9,3,0,1
4,4,5,0,5,0,11,8,5,3,4,2,4,3,9,2,0,1
4,4,5,0,5,0,11,8,5,3,4,2,4,3,9,1,0,0
