Group,Distribution,Chi_Squared_Stat,Chi_Squared_p,KS_Stat,KS_p,Params
1,gamma,12.343532278509239,0.05472942905292277,0.07170180445005414,0.35489886988990305,"(24.050523977931746, -59.55663870525268, 5.476898688848208)"
1,weibull,25.834870193612645,0.00023897585230281404,0.07731089521677414,0.2700109772158157,"(2.3929238678325606, 13.158761786342664, 66.9600377193172)"
1,normal,18.81897269695702,0.008773743040060955,0.09853264629725977,0.07884233221155679,"(72.16564417177914, 26.849789800203354)"
1,lognorm,12.381751699467696,0.05397455276303775,0.07055573378482938,0.3742054746406427,"(0.14127007965156435, -117.21227809433358, 187.49843159999037)"
1,loglogistic,14.688997365459556,0.02281854811359607,0.05620334003812241,0.6606472281459576,"(9.156375804099158, -68.77843714881958, 138.38266909660024)"
1,pearson3,12.343536393651673,0.05472934724798417,0.07170164051773531,0.3549015844887198,"(0.4078233004673525, 72.16565248613097, 26.85942735688422)"
2,gamma,12.185333290385884,0.057959680272138714,0.057269498126450324,0.7574967965997637,"(7.277891524726138, 10.496414983142564, 13.450316751811236)"
2,weibull,12.982621266932844,0.04331275410628421,0.06452571266679807,0.6182343453420422,"(1.8328281426504032, 44.82449184218145, 71.92945488842864)"
2,normal,41.94314460819906,5.332697066151582e-07,0.06908196266822264,0.5316050635081211,"(108.38636363636364, 36.58254421609183)"
2,lognorm,11.490306675383136,0.07435452761724237,0.05423414203006194,0.8120160475119572,"(0.26728628180376063, -25.649767903709712, 129.32683842986776)"
2,loglogistic,10.372101910362668,0.10983150084480342,0.049648917427869144,0.884591943183828,"(5.269908291816904, -0.6733105619587086, 104.01538832120679)"
2,pearson3,12.185281354377716,0.05796076924157911,0.057269699211380476,0.7574930655786366,"(0.741358270197489, 108.38637343701791, 36.285712150567875)"
3,gamma,17.78976886411982,0.006779621349175535,0.033211594262970545,0.8601524434059197,"(3.3379212705275343, 51.029230803833244, 29.328363669122226)"
