OT,overtime,schedule_day
MRI,16.0,21
MRI,126.0,22
8,208.0,21
4,182.0,24
3,499.0,25
MRI,121.0,1
4,156.0,2
MRI,125.0,4
7,224.0,8
9,81.0,9
3,90.0,10
4,400.0,9
MRI,205.0,11
3,26.0,14
MRI,433.0,15
5,402.0,16
8,427.0,16
MRI,205.0,18
MRI,118.0,21
9,282.0,23
MRI,153.0,25
MRI,27.0,1
8,76.0,0
4,304.0,2
MRI,376.0,4
MRI,2.0,8
9,197.0,9
3,48.0,11
MRI,50.0,11
4,161.0,11
3,130.0,14
MRI,294.0,21
MRI,185.0,1
MRI,160.0,11
3,413.0,14
MRI,82.0,15
5,103.0,16
7,55.0,25
MRI,270.0,25
3,319.0,25
MRI,44.0,1
8,380.0,0
10,456.0,2
4,32.0,2
3,462.0,4
5,224.0,7
8,238.0,7
MRI,374.0,15
7,24.0,16
1,23.0,17
7,23.0,17
MRI,58.0,1
4,59.0,2
MRI,61.0,4
3,167.0,4
MRI,215.0,7
8,61.0,7
7,304.0,14
8,38.0,23
3,304.0,4
MRI,227.0,7
7,14.0,8
9,72.0,9
8,311.0,7
8,92.0,11
4,310.0,11
MRI,198.0,15
3,498.0,18
7,36.0,25
MRI,47.0,25
3,380.0,25
MRI,95.0,1
8,164.0,0
4,411.0,2
MRI,218.0,4
MRI,144.0,8
4,209.0,10
MRI,51.0,11
4,263.0,11
1,47.0,17
4,433.0,17
MRI,42.0,21
8,42.0,23
MRI,51.0,25
3,130.0,25
3,18.0,1
MRI,291.0,1
8,179.0,0
4,416.0,2
MRI,177.0,4
MRI,230.0,7
7,60.0,8
MRI,54.0,11
8,506.0,11
4,32.0,16
3,117.0,18
MRI,435.0,22
8,312.0,23
MRI,205.0,25
MRI,272.0,1
9,19.0,2
MRI,254.0,4
MRI,319.0,7
9,109.0,9
8,42.0,11
MRI,59.0,18
3,177.0,18
MRI,80.0,22
MRI,129.0,25
3,179.0,25
MRI,381.0,1
4,71.0,2
MRI,87.0,4
MRI,234.0,7
MRI,234.0,8
9,83.0,9
MRI,491.0,11
3,114.0,14
MRI,66.0,15
8,7.0,14
MRI,309.0,18
4,33.0,24
MRI,302.0,25
MRI,309.0,1
4,82.0,2
6,371.0,4
3,464.0,4
MRI,120.0,7
MRI,194.0,11
8,303.0,11
3,283.0,14
MRI,4.0,15
7,26.0,16
8,31.0,16
MRI,8.0,21
8,161.0,21
MRI,152.0,25
MRI,145.0,1
7,67.0,2
8,86.0,2
4,295.0,2
3,335.0,4
9,134.0,9
MRI,5.0,11
4,444.0,11
7,421.0,14
8,0.0,21
4,78.0,24
MRI,307.0,1
MRI,186.0,4
7,3.0,9
MRI,93.0,11
8,212.0,16
MRI,273.0,18
MRI,28.0,21
1,31.0,23
8,129.0,21
MRI,86.0,1
8,368.0,0
MRI,2.0,4
MRI,0.0,7
9,5.0,9
3,358.0,14
5,433.0,21
8,69.0,23
MRI,140.0,1
4,285.0,2
MRI,274.0,7
MRI,162.0,8
4,144.0,10
8,194.0,7
3,155.0,14
5,19.0,2
8,87.0,2
10,494.0,2
7,111.0,8
MRI,170.0,15
MRI,97.0,18
MRI,132.0,25
MRI,43.0,1
8,199.0,2
4,427.0,2
3,246.0,4
MRI,107.0,7
MRI,1.0,8
9,4.0,9
MRI,161.0,11
MRI,156.0,18
MRI,19.0,22
4,230.0,24
MRI,89.0,25
MRI,142.0,1
3,189.0,4
MRI,471.0,4
9,22.0,7
MRI,120.0,7
MRI,230.0,8
7,384.0,8
9,33.0,9
