OT,overtime,schedule_day
10,394.0,21
7,438.0,23
2,266.0,24
3,303.0,23
8,416.0,21
1,432.0,24
3,52.0,25
7,485.0,24
9,94.0,16
9,383.0,0
MRI,67.0,1
7,4.0,0
2,195.0,3
7,83.0,4
MRI,183.0,4
3,371.0,4
1,426.0,25
6,14.0,0
2,47.0,7
1,142.0,7
MRI,1.0,8
2,204.0,8
1,293.0,9
8,189.0,7
3,189.0,8
2,344.0,10
1,439.0,10
MRI,16.0,11
1,433.0,11
2,281.0,14
3,414.0,14
1,419.0,14
3,126.0,15
1,228.0,15
4,394.0,10
4,71.0,17
1,411.0,17
MRI,74.0,18
8,201.0,14
6,217.0,14
9,128.0,16
MRI,189.0,21
1,319.0,22
3,161.0,21
MRI,240.0,22
1,300.0,23
6,100.0,21
1,123.0,24
MRI,51.0,25
4,92.0,18
3,170.0,25
10,284.0,21
2,449.0,15
1,93.0,0
9,175.0,0
2,246.0,0
MRI,35.0,1
1,194.0,1
10,242.0,0
3,302.0,1
5,421.0,24
2,239.0,1
1,264.0,2
3,409.0,2
9,500.0,2
10,80.0,2
4,195.0,2
MRI,152.0,4
1,157.0,4
MRI,210.0,7
1,396.0,7
2,437.0,7
MRI,220.0,8
3,273.0,7
1,414.0,8
2,137.0,8
1,269.0,9
1,390.0,10
2,491.0,10
6,2.0,7
1,261.0,11
8,429.0,7
5,1.0,7
3,251.0,11
4,369.0,4
1,403.0,14
MRI,163.0,15
7,492.0,10
7,165.0,16
4,304.0,16
1,139.0,17
7,423.0,17
4,404.0,17
MRI,429.0,18
MRI,135.0,21
9,239.0,16
4,253.0,22
9,369.0,23
1,214.0,24
4,282.0,23
MRI,326.0,25
3,376.0,25
6,109.0,25
1,110.0,25
9,448.0,0
MRI,68.0,1
1,113.0,1
2,446.0,1
9,186.0,2
1,226.0,2
1,127.0,3
2,174.0,3
MRI,73.0,4
6,375.0,4
1,463.0,4
4,324.0,25
MRI,134.0,7
1,238.0,7
2,360.0,7
MRI,38.0,8
1,299.0,8
7,155.0,9
5,433.0,9
5,240.0,10
1,322.0,10
7,397.0,10
MRI,13.0,11
5,154.0,11
3,268.0,11
1,275.0,11
2,6.0,14
7,88.0,14
1,468.0,14
3,45.0,15
MRI,57.0,15
7,176.0,15
1,267.0,15
5,386.0,14
7,181.0,16
4,312.0,16
