OT,overtime,schedule_day
4,158.0,3
MRI,0.0,4
6,143.0,4
3,204.0,2
8,472.0,4
MRI,62.0,7
3,2.0,8
8,6.0,7
9,41.0,14
10,355.0,14
MRI,61.0,15
5,32.0,16
MRI,115.0,18
MRI,234.0,21
4,343.0,23
5,16.0,25
4,36.0,25
9,309.0,0
MRI,224.0,1
5,51.0,3
MRI,254.0,4
3,295.0,4
9,238.0,7
MRI,347.0,7
7,21.0,9
2,393.0,8
5,37.0,10
8,112.0,7
MRI,217.0,11
4,406.0,11
9,4.0,14
3,135.0,14
MRI,266.0,15
MRI,45.0,18
MRI,78.0,21
5,414.0,21
7,486.0,22
9,12.0,23
8,192.0,23
5,46.0,25
MRI,311.0,25
MRI,349.0,1
9,45.0,2
7,38.0,3
10,20.0,7
MRI,254.0,7
8,152.0,7
2,128.0,8
4,429.0,9
MRI,154.0,11
3,340.0,14
MRI,132.0,15
8,116.0,14
3,89.0,17
5,250.0,18
MRI,264.0,18
MRI,23.0,21
3,7.0,22
MRI,433.0,22
8,485.0,21
MRI,167.0,25
4,207.0,23
9,13.0,0
9,105.0,2
7,52.0,3
MRI,113.0,4
MRI,399.0,7
MRI,216.0,8
4,267.0,9
MRI,242.0,11
3,33.0,14
10,75.0,14
9,100.0,14
MRI,276.0,15
8,361.0,14
MRI,184.0,18
MRI,315.0,21
MRI,113.0,22
7,314.0,22
8,474.0,21
MRI,344.0,1
9,59.0,2
MRI,99.0,4
3,22.0,4
MRI,141.0,7
MRI,50.0,8
7,206.0,9
9,399.0,14
9,20.0,16
8,274.0,14
MRI,177.0,18
MRI,5.0,21
MRI,25.0,22
MRI,256.0,25
MRI,133.0,1
9,15.0,2
MRI,279.0,4
3,288.0,4
MRI,252.0,7
MRI,128.0,8
MRI,170.0,11
9,98.0,14
3,274.0,14
2,71.0,15
MRI,122.0,15
4,439.0,17
MRI,95.0,18
MRI,125.0,21
5,404.0,21
7,186.0,22
MRI,276.0,22
4,130.0,24
MRI,7.0,25
9,102.0,0
8,144.0,0
4,294.0,3
6,49.0,4
MRI,151.0,4
10,173.0,7
MRI,123.0,8
8,306.0,7
MRI,154.0,11
9,317.0,14
3,339.0,14
MRI,130.0,15
7,35.0,16
5,184.0,18
MRI,265.0,18
6,49.0,21
MRI,116.0,21
MRI,322.0,22
MRI,382.0,25
9,289.0,0
MRI,73.0,1
8,23.0,0
MRI,124.0,4
5,448.0,4
MRI,235.0,7
5,455.0,7
MRI,164.0,8
8,3.0,9
3,308.0,10
MRI,101.0,11
8,129.0,11
9,220.0,14
MRI,257.0,18
MRI,125.0,21
3,483.0,21
MRI,87.0,22
8,281.0,21
MRI,164.0,25
9,144.0,0
MRI,169.0,1
7,20.0,3
8,57.0,4
MRI,118.0,4
6,125.0,4
MRI,52.0,7
9,201.0,7
2,239.0,8
3,32.0,10
7,8.0,11
8,61.0,11
MRI,342.0,11
4,293.0,11
3,12.0,14
9,356.0,14
7,21.0,16
9,41.0,16
8,53.0,14
4,65.0,17
8,418.0,18
MRI,77.0,21
3,400.0,21
5,491.0,21
MRI,123.0,22
MRI,58.0,25
8,184.0,21
MRI,263.0,1
9,95.0,2
6,61.0,4
MRI,128.0,4
MRI,150.0,7
5,390.0,7
MRI,93.0,8
7,166.0,9
MRI,316.0,11
9,211.0,14
MRI,93.0,15
3,41.0,17
6,109.0,17
MRI,340.0,18
MRI,204.0,21
5,508.0,21
8,149.0,21
MRI,6.0,25
9,136.0,0
MRI,5.0,1
7,33.0,3
4,185.0,3
7,28.0,4
MRI,68.0,7
5,410.0,7
MRI,335.0,8
5,50.0,9
7,51.0,9
3,453.0,10
7,15.0,11
MRI,116.0,11
MRI,45.0,15
7,6.0,17
5,60.0,17
8,220.0,14
10,383.0,17
MRI,264.0,18
3,147.0,21
MRI,187.0,21
MRI,129.0,22
9,27.0,23
7,40.0,24
10,473.0,24
8,190.0,25
MRI,448.0,25
6,0.0,0
MRI,386.0,1
MRI,73.0,4
MRI,94.0,7
10,136.0,7
MRI,199.0,8
MRI,217.0,11
7,186.0,9
9,203.0,14
3,412.0,14
4,335.0,17
MRI,123.0,18
8,285.0,14
MRI,112.0,21
MRI,81.0,22
8,435.0,23
4,317.0,24
4,4.0,25
MRI,109.0,25
9,119.0,0
MRI,35.0,1
7,13.0,2
8,476.0,0
MRI,155.0,4
MRI,94.0,8
MRI,75.0,11
9,141.0,14
MRI,39.0,15
7,16.0,16
8,505.0,14
4,2.0,18
MRI,289.0,18
MRI,222.0,21
7,166.0,22
8,308.0,21
4,98.0,24
9,156.0,0
MRI,116.0,1
9,47.0,2
8,93.0,0
4,400.0,3
MRI,72.0,4
3,396.0,4
MRI,3.0,7
MRI,67.0,8
3,205.0,10
MRI,161.0,11
4,286.0,11
9,171.0,14
MRI,316.0,15
MRI,29.0,18
MRI,3.0,21
MRI,45.0,22
9,78.0,23
8,231.0,21
MRI,22.0,25
9,79.0,0
MRI,15.0,1
MRI,53.0,4
MRI,385.0,7
MRI,375.0,8
1,59.0,11
MRI,104.0,11
4,166.0,9
MRI,201.0,15
9,27.0,16
4,102.0,17
MRI,131.0,18
3,112.0,21
MRI,289.0,21
MRI,169.0,22
4,106.0,24
9,26.0,0
MRI,9.0,1
8,111.0,0
MRI,75.0,4
MRI,125.0,7
MRI,290.0,8
4,163.0,10
MRI,172.0,11
9,29.0,14
MRI,75.0,15
4,92.0,18
MRI,135.0,18
MRI,88.0,21
MRI,142.0,22
MRI,1.0,25
MRI,52.0,1
2,451.0,1
4,324.0,3
MRI,97.0,4
MRI,132.0,7
2,9.0,8
8,165.0,7
MRI,175.0,11
9,219.0,14
4,390.0,17
MRI,86.0,21
3,337.0,21
MRI,204.0,22
7,22.0,23
9,34.0,23
4,38.0,24
8,95.0,21
5,36.0,25
MRI,74.0,25
9,12.0,0
MRI,171.0,1
9,118.0,2
MRI,3.0,4
MRI,209.0,7
MRI,148.0,8
4,136.0,10
MRI,304.0,11
3,109.0,14
9,171.0,14
MRI,62.0,15
MRI,201.0,18
MRI,314.0,21
MRI,110.0,22
7,141.0,22
8,145.0,23
MRI,143.0,25
9,76.0,0
MRI,98.0,1
9,41.0,2
MRI,262.0,4
3,85.0,4
MRI,158.0,7
MRI,225.0,8
8,319.0,7
MRI,37.0,11
4,143.0,11
9,45.0,14
MRI,43.0,15
8,76.0,14
MRI,60.0,18
10,5.0,21
MRI,27.0,21
4,228.0,24
MRI,237.0,25
9,57.0,0
MRI,362.0,1
MRI,78.0,4
MRI,42.0,7
MRI,87.0,8
3,60.0,10
MRI,147.0,11
10,155.0,14
MRI,5.0,15
8,334.0,14
MRI,83.0,21
MRI,103.0,22
8,7.0,23
MRI,367.0,25
MRI,405.0,1
9,102.0,2
3,370.0,2
3,354.0,4
MRI,43.0,7
MRI,131.0,8
7,15.0,9
8,57.0,7
MRI,199.0,11
9,112.0,14
9,11.0,16
4,212.0,17
5,12.0,18
5,8.0,24
4,276.0,24
MRI,392.0,25
9,7.0,0
MRI,168.0,1
9,200.0,2
MRI,299.0,4
MRI,242.0,7
7,23.0,9
4,20.0,9
MRI,245.0,11
9,12.0,14
MRI,371.0,15
8,88.0,14
MRI,74.0,18
3,166.0,21
MRI,357.0,21
MRI,178.0,22
4,451.0,23
4,23.0,25
MRI,220.0,25
9,66.0,0
MRI,217.0,1
9,218.0,2
8,25.0,0
4,84.0,3
MRI,114.0,4
8,378.0,4
MRI,1.0,7
9,106.0,7
MRI,33.0,8
3,114.0,10
7,68.0,11
MRI,153.0,11
9,27.0,14
3,212.0,14
MRI,45.0,15
4,98.0,17
MRI,145.0,18
8,189.0,14
MRI,140.0,21
3,318.0,21
MRI,150.0,22
9,426.0,23
5,31.0,24
4,14.0,25
MRI,206.0,25
9,66.0,0
MRI,104.0,1
9,15.0,2
MRI,268.0,4
8,2.0,0
9,48.0,7
MRI,27.0,8
MRI,130.0,11
4,18.0,9
MRI,222.0,15
4,179.0,17
8,197.0,14
10,399.0,17
MRI,384.0,18
MRI,64.0,21
3,96.0,21
MRI,78.0,22
4,1.0,25
MRI,96.0,25
9,371.0,0
MRI,216.0,1
9,394.0,2
MRI,174.0,4
MRI,181.0,7
MRI,44.0,8
MRI,39.0,11
9,108.0,14
MRI,81.0,15
9,15.0,16
4,15.0,18
MRI,31.0,18
3,35.0,21
MRI,59.0,21
5,33.0,22
MRI,126.0,25
4,467.0,23
9,331.0,2
8,349.0,2
MRI,185.0,4
3,82.0,4
MRI,159.0,7
MRI,62.0,8
MRI,244.0,11
4,106.0,11
9,27.0,14
3,150.0,14
8,383.0,14
5,360.0,18
MRI,389.0,18
3,18.0,21
MRI,119.0,21
MRI,27.0,22
7,177.0,22
8,261.0,21
MRI,105.0,25
MRI,82.0,1
7,37.0,2
9,67.0,2
3,133.0,4
6,73.0,7
9,284.0,7
MRI,476.0,7
8,379.0,7
3,15.0,10
MRI,112.0,11
3,39.0,14
9,87.0,14
MRI,258.0,15
MRI,33.0,18
3,227.0,21
MRI,307.0,21
MRI,222.0,22
7,67.0,23
8,83.0,21
MRI,96.0,25
MRI,185.0,1
9,79.0,2
MRI,311.0,4
3,470.0,4
MRI,39.0,7
MRI,230.0,8
MRI,331.0,11
4,46.0,11
9,54.0,14
MRI,186.0,15
MRI,45.0,18
9,26.0,21
MRI,177.0,21
MRI,33.0,25
9,117.0,0
MRI,36.0,1
9,481.0,2
4,19.0,3
MRI,124.0,4
9,84.0,7
MRI,90.0,7
MRI,27.0,8
3,356.0,10
8,446.0,7
MRI,191.0,11
4,76.0,11
MRI,301.0,15
4,233.0,17
MRI,25.0,18
8,195.0,14
5,367.0,18
MRI,54.0,22
9,243.0,23
MRI,23.0,25
9,207.0,0
MRI,58.0,1
9,101.0,2
4,428.0,3
MRI,481.0,4
9,51.0,7
10,147.0,7
MRI,227.0,7
MRI,9.0,8
8,93.0,7
5,46.0,10
5,12.0,11
MRI,233.0,11
4,443.0,11
3,29.0,14
MRI,53.0,15
6,66.0,16
4,159.0,17
MRI,22.0,18
MRI,61.0,21
4,3.0,25
5,4.0,25
MRI,37.0,25
10,117.0,0
MRI,280.0,1
8,287.0,0
MRI,86.0,4
MRI,105.0,7
MRI,146.0,8
5,138.0,11
4,31.0,11
9,37.0,14
3,280.0,14
MRI,226.0,15
MRI,24.0,18
3,468.0,21
MRI,346.0,22
9,403.0,23
4,40.0,25
MRI,262.0,25
9,37.0,0
9,17.0,2
MRI,105.0,4
3,330.0,4
MRI,249.0,7
MRI,229.0,8
MRI,36.0,11
9,375.0,14
MRI,145.0,15
MRI,217.0,18
3,211.0,21
MRI,379.0,22
5,71.0,23
MRI,94.0,25
9,0.0,0
MRI,456.0,1
9,7.0,2
8,48.0,0
MRI,78.0,4
5,491.0,4
MRI,167.0,8
7,472.0,9
3,419.0,10
MRI,46.0,11
5,115.0,11
9,162.0,14
6,67.0,16
4,297.0,17
MRI,235.0,18
MRI,58.0,21
3,171.0,21
MRI,36.0,22
9,51.0,23
5,47.0,24
MRI,104.0,25
MRI,18.0,1
9,101.0,2
8,376.0,0
MRI,330.0,4
MRI,206.0,7
MRI,448.0,8
3,69.0,10
MRI,186.0,11
4,494.0,11
MRI,167.0,15
4,41.0,17
MRI,113.0,18
3,1.0,21
9,59.0,21
MRI,125.0,21
8,5.0,21
MRI,423.0,25
9,17.0,0
MRI,98.0,1
MRI,267.0,4
MRI,151.0,7
9,191.0,7
MRI,117.0,8
3,231.0,10
10,369.0,10
MRI,0.0,11
MRI,342.0,15
MRI,159.0,18
3,40.0,21
MRI,274.0,21
MRI,303.0,22
4,36.0,25
MRI,77.0,25
9,30.0,0
MRI,307.0,1
3,21.0,3
MRI,62.0,4
4,125.0,4
3,395.0,4
MRI,251.0,7
MRI,296.0,8
8,281.0,7
MRI,29.0,15
MRI,113.0,18
3,196.0,21
MRI,295.0,21
7,11.0,22
MRI,29.0,22
9,44.0,23
8,160.0,21
MRI,97.0,25
9,108.0,0
MRI,217.0,1
9,152.0,2
8,444.0,0
MRI,143.0,4
MRI,86.0,7
5,345.0,7
MRI,179.0,8
2,211.0,8
MRI,2.0,11
4,429.0,9
3,136.0,14
9,190.0,14
MRI,23.0,18
MRI,5.0,21
3,152.0,21
7,242.0,22
MRI,426.0,22
9,68.0,23
9,20.0,0
MRI,29.0,1
9,56.0,2
6,261.0,4
MRI,396.0,7
5,472.0,7
MRI,47.0,8
4,89.0,11
3,190.0,14
9,348.0,14
MRI,155.0,18
MRI,270.0,21
MRI,2.0,22
7,24.0,22
3,42.0,22
MRI,131.0,25
9,75.0,0
5,11.0,2
9,28.0,2
8,153.0,0
MRI,11.0,4
5,7.0,9
3,225.0,10
MRI,40.0,11
3,310.0,14
MRI,208.0,15
8,255.0,14
3,73.0,21
MRI,180.0,21
7,117.0,22
MRI,162.0,22
9,43.0,23
MRI,101.0,25
MRI,45.0,4
8,440.0,0
6,121.0,7
2,349.0,8
4,33.0,9
MRI,132.0,11
9,406.0,14
MRI,11.0,18
3,62.0,21
MRI,363.0,21
MRI,175.0,22
MRI,397.0,25
9,23.0,0
MRI,37.0,1
4,65.0,2
MRI,130.0,4
MRI,25.0,7
9,172.0,7
MRI,190.0,8
2,26.0,8
MRI,331.0,11
3,145.0,14
9,479.0,14
MRI,246.0,18
MRI,421.0,21
MRI,113.0,22
MRI,117.0,25
9,26.0,0
MRI,112.0,1
MRI,302.0,4
MRI,13.0,7
10,219.0,7
5,9.0,8
MRI,49.0,8
MRI,125.0,11
4,191.0,9
9,151.0,14
3,489.0,14
MRI,27.0,15
7,76.0,17
MRI,131.0,18
3,185.0,21
MRI,193.0,21
7,398.0,22
MRI,222.0,25
9,115.0,0
MRI,41.0,1
9,182.0,2
4,365.0,3
MRI,102.0,4
3,115.0,4
MRI,1.0,7
MRI,80.0,8
MRI,81.0,11
9,54.0,14
MRI,191.0,15
8,170.0,16
MRI,183.0,18
MRI,354.0,21
MRI,184.0,22
9,198.0,23
MRI,15.0,25
4,28.0,25
9,26.0,0
4,32.0,2
9,451.0,2
4,77.0,4
MRI,151.0,4
5,367.0,4
MRI,248.0,7
MRI,211.0,8
4,185.0,9
8,361.0,7
MRI,163.0,15
MRI,234.0,21
3,264.0,21
MRI,155.0,22
9,192.0,23
MRI,301.0,25
9,173.0,0
10,476.0,1
8,0.0,0
4,372.0,3
MRI,4.0,4
MRI,198.0,7
10,250.0,7
5,366.0,7
4,418.0,9
MRI,231.0,11
