OT,overtime,schedule_day
4,29.0,24
2,86.0,22
MRI,264.0,25
10,154.0,0
MRI,202.0,1
7,22.0,3
8,441.0,0
MRI,152.0,4
3,42.0,4
MRI,327.0,7
MRI,65.0,8
9,35.0,9
4,115.0,11
8,312.0,7
8,55.0,15
MRI,60.0,15
9,224.0,14
9,133.0,16
MRI,65.0,18
7,141.0,25
MRI,28.0,1
8,143.0,2
7,45.0,4
MRI,399.0,4
MRI,195.0,7
6,87.0,9
10,11.0,11
9,54.0,16
4,239.0,17
MRI,20.0,18
3,27.0,18
MRI,1.0,21
MRI,189.0,22
4,12.0,23
9,48.0,23
10,79.0,23
MRI,461.0,25
7,2.0,2
8,182.0,0
6,459.0,4
MRI,52.0,7
MRI,142.0,8
8,446.0,7
MRI,113.0,11
4,216.0,11
9,10.0,14
5,81.0,14
MRI,256.0,15
9,416.0,16
7,32.0,17
4,337.0,17
MRI,151.0,18
MRI,347.0,21
MRI,186.0,22
8,407.0,21
MRI,100.0,25
9,64.0,0
MRI,129.0,1
5,4.0,2
MRI,20.0,4
3,146.0,4
MRI,212.0,7
MRI,240.0,8
7,15.0,16
4,235.0,17
MRI,107.0,18
9,31.0,23
8,300.0,21
MRI,87.0,25
MRI,173.0,4
MRI,15.0,7
7,40.0,8
10,228.0,11
MRI,399.0,11
MRI,261.0,15
8,189.0,18
MRI,360.0,18
MRI,15.0,21
9,184.0,23
MRI,54.0,25
9,31.0,0
MRI,184.0,1
MRI,187.0,7
MRI,182.0,8
7,31.0,9
MRI,222.0,11
7,403.0,15
MRI,481.0,15
4,30.0,17
MRI,232.0,18
5,441.0,18
MRI,159.0,21
5,250.0,21
5,19.0,23
8,458.0,21
5,178.0,25
4,164.0,3
3,21.0,4
MRI,284.0,7
10,13.0,11
4,219.0,11
MRI,16.0,15
4,17.0,17
5,39.0,17
5,239.0,18
6,5.0,21
MRI,180.0,21
5,436.0,21
MRI,399.0,22
9,68.0,23
8,362.0,21
9,11.0,0
MRI,55.0,1
8,374.0,2
MRI,111.0,4
MRI,299.0,7
7,157.0,8
8,117.0,7
MRI,210.0,11
10,206.0,14
MRI,62.0,15
7,140.0,15
8,369.0,14
4,305.0,17
MRI,317.0,18
MRI,13.0,21
MRI,205.0,22
8,142.0,23
4,101.0,24
MRI,397.0,1
5,37.0,2
MRI,106.0,4
MRI,31.0,7
4,471.0,10
7,6.0,11
MRI,105.0,11
4,251.0,11
7,1.0,14
5,14.0,14
9,20.0,14
9,102.0,16
4,4.0,17
MRI,397.0,18
MRI,335.0,21
MRI,111.0,22
9,18.0,23
MRI,277.0,25
9,330.0,0
MRI,328.0,1
MRI,141.0,4
MRI,160.0,7
7,14.0,8
MRI,407.0,8
MRI,157.0,11
8,501.0,11
10,380.0,14
7,115.0,15
MRI,110.0,18
7,472.0,18
MRI,45.0,21
8,80.0,21
2,118.0,22
4,504.0,24
MRI,79.0,25
9,41.0,0
MRI,108.0,1
3,202.0,4
7,16.0,9
5,399.0,8
4,266.0,10
MRI,143.0,11
8,322.0,7
MRI,255.0,15
1,79.0,24
2,286.0,22
MRI,192.0,25
10,78.0,0
MRI,316.0,1
8,426.0,0
MRI,251.0,4
MRI,7.0,7
3,32.0,8
7,132.0,8
MRI,194.0,11
9,168.0,14
MRI,119.0,15
7,448.0,15
8,80.0,14
7,46.0,18
8,265.0,23
MRI,180.0,25
7,42.0,2
5,53.0,2
MRI,420.0,4
MRI,209.0,7
MRI,163.0,8
8,71.0,9
4,331.0,11
MRI,3.0,15
9,44.0,16
5,312.0,16
4,28.0,17
8,261.0,14
MRI,209.0,18
3,365.0,18
MRI,388.0,21
MRI,75.0,22
4,66.0,23
7,5.0,25
MRI,72.0,25
MRI,413.0,1
8,228.0,0
4,306.0,2
MRI,178.0,4
3,29.0,4
MRI,253.0,7
MRI,194.0,8
MRI,103.0,11
5,5.0,14
6,19.0,14
9,83.0,14
MRI,119.0,15
6,24.0,16
9,92.0,16
4,487.0,16
MRI,157.0,18
3,355.0,18
MRI,78.0,21
MRI,254.0,22
9,15.0,23
4,15.0,24
4,40.0,25
MRI,361.0,25
MRI,225.0,1
8,94.0,0
5,42.0,3
3,497.0,4
MRI,292.0,7
MRI,227.0,8
9,14.0,9
7,41.0,9
8,485.0,7
10,238.0,11
MRI,415.0,11
9,163.0,14
7,4.0,15
MRI,349.0,15
9,113.0,16
4,207.0,17
MRI,178.0,21
7,1.0,23
9,274.0,23
8,254.0,25
10,153.0,0
MRI,319.0,1
10,435.0,3
MRI,29.0,4
6,164.0,4
3,272.0,4
MRI,121.0,7
4,374.0,10
9,162.0,16
4,198.0,17
MRI,207.0,21
MRI,357.0,22
8,130.0,21
MRI,130.0,25
9,254.0,0
MRI,304.0,1
2,477.0,1
MRI,222.0,4
MRI,385.0,7
MRI,6.0,8
3,22.0,8
10,5.0,11
MRI,471.0,11
4,49.0,11
9,3.0,14
7,66.0,15
MRI,234.0,15
5,1.0,16
8,78.0,16
5,76.0,17
MRI,69.0,18
3,306.0,18
MRI,275.0,21
5,320.0,21
MRI,34.0,22
4,167.0,24
10,462.0,23
8,25.0,21
MRI,272.0,25
9,192.0,0
MRI,60.0,1
MRI,210.0,4
MRI,48.0,7
8,108.0,7
MRI,229.0,8
8,413.0,9
4,433.0,10
3,50.0,11
MRI,214.0,11
MRI,33.0,15
8,239.0,14
MRI,8.0,18
MRI,87.0,21
MRI,252.0,22
MRI,16.0,25
7,71.0,25
MRI,191.0,1
4,341.0,3
MRI,84.0,4
MRI,134.0,7
MRI,29.0,8
3,21.0,10
8,161.0,7
5,177.0,8
7,16.0,11
4,323.0,16
MRI,422.0,18
MRI,120.0,21
MRI,281.0,22
5,359.0,22
MRI,54.0,25
8,169.0,0
4,64.0,3
MRI,106.0,4
3,88.0,4
MRI,240.0,8
5,344.0,8
8,461.0,7
MRI,333.0,11
9,4.0,14
MRI,101.0,18
3,141.0,18
MRI,223.0,21
4,385.0,24
MRI,141.0,25
8,18.0,21
9,87.0,0
MRI,81.0,1
6,174.0,4
MRI,403.0,4
MRI,1.0,7
MRI,202.0,11
4,81.0,11
7,43.0,15
MRI,150.0,15
8,114.0,16
6,50.0,21
MRI,75.0,21
9,42.0,23
8,115.0,21
4,493.0,24
MRI,171.0,25
MRI,218.0,1
10,324.0,3
MRI,186.0,7
MRI,93.0,8
5,72.0,9
MRI,257.0,15
7,19.0,18
MRI,275.0,18
3,310.0,18
MRI,115.0,21
9,160.0,23
5,461.0,23
MRI,144.0,25
MRI,127.0,1
MRI,403.0,4
3,384.0,4
MRI,24.0,7
8,84.0,7
MRI,36.0,11
4,456.0,11
MRI,175.0,15
4,151.0,17
MRI,78.0,18
3,288.0,18
MRI,28.0,21
8,188.0,21
9,189.0,23
4,32.0,25
MRI,55.0,25
9,104.0,0
MRI,247.0,1
MRI,1.0,4
MRI,238.0,7
MRI,38.0,8
7,17.0,9
8,57.0,7
MRI,97.0,11
9,47.0,14
MRI,286.0,18
MRI,38.0,21
MRI,12.0,22
5,14.0,23
9,93.0,23
8,82.0,21
4,17.0,25
MRI,198.0,25
MRI,68.0,1
8,187.0,0
4,285.0,3
MRI,81.0,4
3,121.0,4
MRI,493.0,7
MRI,345.0,8
7,5.0,10
10,82.0,11
MRI,235.0,11
8,330.0,7
MRI,172.0,15
9,24.0,16
7,54.0,15
MRI,23.0,18
MRI,183.0,21
MRI,21.0,22
9,28.0,23
8,316.0,21
MRI,220.0,1
4,7.0,3
10,332.0,3
MRI,85.0,4
MRI,78.0,7
MRI,18.0,8
3,27.0,8
7,1.0,10
4,307.0,10
MRI,76.0,11
MRI,508.0,15
MRI,86.0,18
MRI,125.0,21
9,156.0,23
10,359.0,23
9,2.0,0
MRI,216.0,1
9,67.0,2
4,360.0,2
4,388.0,3
MRI,106.0,4
MRI,20.0,7
3,16.0,8
MRI,126.0,8
8,319.0,7
10,1.0,11
MRI,419.0,11
9,47.0,14
10,61.0,14
MRI,111.0,15
7,455.0,15
7,11.0,16
4,89.0,17
MRI,192.0,18
MRI,36.0,21
MRI,56.0,22
5,59.0,21
9,107.0,23
MRI,11.0,25
7,70.0,25
9,209.0,0
MRI,236.0,1
8,300.0,2
10,374.0,3
MRI,180.0,4
MRI,187.0,8
7,100.0,9
MRI,323.0,11
9,216.0,14
MRI,92.0,18
3,482.0,18
8,278.0,23
9,139.0,0
MRI,71.0,1
3,400.0,4
MRI,136.0,8
MRI,429.0,11
8,439.0,7
MRI,122.0,15
5,389.0,16
3,122.0,18
MRI,454.0,21
9,153.0,23
4,9.0,24
7,70.0,24
MRI,303.0,25
9,237.0,0
MRI,258.0,1
MRI,262.0,4
MRI,219.0,7
3,29.0,8
MRI,364.0,8
7,21.0,9
MRI,190.0,11
9,145.0,14
5,14.0,16
4,264.0,17
MRI,126.0,18
8,208.0,18
3,489.0,18
MRI,192.0,21
5,422.0,21
