OT,surgery_duration,schedule_day,simulation_day
2,11,1,57
3,41,1,57
7,2753,0,56
3,69,2,58
3,28,2,58
3,21,2,58
3,8,2,58
4,10,2,58
4,48,2,58
5,115,2,58
1,131,22,50
10,161,2,58
7,93,2,58
1,41,3,59
7,92,3,59
2,43,3,59
3,99,3,59
9,150,0,56
7,15,2,58
7,94,2,58
7,86,3,59
10,213,2,58
4,121,3,59
5,75,4,60
1,67,2,58
MRI,186,4,60
4,105,4,60
5,38,2,58
2,60,0,56
1,67,1,57
8,1145,4,60
9,165,14,42
MRI,248,4,60
9,146,2,58
1,52,4,60
3,3832,4,60
4,79,2,58
1,62,7,63
MRI,399,7,63
5,78,7,63
5,147,7,63
6,180,7,63
MRI,333,7,63
3,31,8,64
3,99,8,64
1,64,8,64
2,21,8,64
2,50,7,63
3,169,7,63
3,45,8,64
2,59,8,64
2,26,8,64
9,58,9,65
1,47,9,65
4,37,9,65
5,11,9,65
6,99,9,65
9,120,16,44
10,2137,4,60
3,61,10,66
2,108,10,66
MRI,169,11,67
10,256,11,67
MRI,141,11,67
MRI,298,11,67
4,1619,11,67
8,3579,14,42
MRI,421,8,64
1,80,11,67
9,154,2,58
4,107,9,65
6,102,14,70
5,176,14,70
9,187,14,70
7,31,14,70
3,58,11,67
8,5471,21,49
5,10,15,71
3,71,15,71
2,55,14,70
9,291,14,70
MRI,296,15,71
5,39,15,71
1,49,10,66
10,100,15,71
2,22,15,71
2,19,15,71
6,22,16,72
7,111,16,72
5,72,16,72
9,166,16,72
7,85,16,72
MRI,333,15,71
2,52,17,73
5,103,9,65
3,55,17,73
8,5191,7,35
3,25,15,71
4,154,17,73
5,18,17,73
MRI,293,18,74
4,70,18,74
5,143,18,74
4,64,18,74
MRI,198,18,74
1,140,15,71
3,91,11,67
1,90,16,72
8,2918,21,21
1,136,18,74
7,120,18,74
9,122,9,65
3,3579,18,74
7,1098,4,60
2,27,21,77
MRI,422,21,77
5,143,21,77
9,91,21,77
6,129,21,77
5,20,21,77
6,99,21,77
10,103,21,77
3,55,22,78
10,48,22,78
4,33,22,78
3,11,22,78
MRI,312,22,78
4,50,22,78
5,389,22,78
4,36,23,79
4,56,23,79
6,63,23,79
1,94,14,70
7,76,23,79
9,331,23,79
1,74,23,79
4,76,16,72
7,85,24,80
5,57,23,79
5,25,23,79
4,362,24,80
MRI,345,25,81
9,92,23,79
4,55,25,81
MRI,217,22,78
4,30,25,81
4,29,25,81
2,5105,22,78
1,58,24,80
7,99,22,78
3,34,25,81
7,256,25,25
3,31,22,78
7,1574,15,71
2,104,0,84
3,85,0,84
6,78,0,84
5,47,0,84
7,44,0,84
1,82,22,78
6,441,4,60
7,74,0,84
9,399,0,84
9,173,0,84
5,6,1,85
MRI,227,1,85
2,85,1,85
2,77,1,85
MRI,197,1,85
3,38,1,85
1,88,1,85
1,78,21,77
8,5244,7,63
1,101,0,84
5,22,1,85
5,79,2,86
2,42,1,85
5,90,0,84
3,38,1,85
4,17,2,86
3,81,2,86
3,81,2,86
3,27,2,86
4,12,2,86
7,86,3,87
2,45,3,87
3,80,3,87
4,863,3,87
4,22,2,86
3,289,21,77
2,54,1,57
3,69,2,86
1,49,3,87
7,80,4,88
MRI,529,4,88
4,175,4,88
7,115,1,85
5,39,4,88
7,69,2,86
5,1319,4,88
9,114,23,79
3,866,4,88
1,73,2,86
5,453,25,81
9,165,2,86
2,80,7,91
MRI,186,7,91
6,114,7,91
5,94,1,85
MRI,178,7,91
6,209,7,91
MRI,189,7,91
10,515,0,84
3,24,8,92
3,57,8,92
5,526,7,91
1,50,7,91
MRI,425,8,92
2,50,8,92
3,56,8,92
1,52,8,92
2,71,8,92
2,48,8,92
7,99,8,92
6,40,9,93
4,68,9,93
5,100,7,91
4,63,9,93
2,71,8,92
5,1964,8,92
3,138,14,70
3,228,7,91
10,62,7,91
3,37,25,81
5,117,7,91
6,153,10,94
1,79,9,93
7,21,10,94
3,70,11,95
10,202,11,95
5,52,10,94
3,22,10,94
2,66,10,94
1,61,10,94
1,137,11,95
5,91,11,95
5,74,10,94
9,200,21,77
4,439,10,94
10,109,7,91
7,98,9,93
9,129,9,93
9,101,14,98
6,97,14,98
2,117,14,98
9,90,14,98
5,234,14,98
6,159,14,98
7,46,14,98
1,61,4,88
MRI,399,11,95
5,5,15,99
7,64,14,98
3,185,14,98
5,4,15,99
10,271,14,98
10,75,15,99
3,45,15,99
5,168,14,98
2,43,15,99
2,6,15,99
5,34,16,100
MRI,128,15,99
3,58,15,99
5,58,16,100
7,72,16,100
9,530,16,100
6,42,16,100
8,300,16,100
1,40,15,99
7,45,16,100
6,115,16,100
9,167,16,72
10,256,16,100
4,297,17,101
7,37,15,99
6,116,17,101
7,77,10,94
2,56,17,101
5,19,17,101
9,172,2,86
5,2,18,102
5,90,18,102
MRI,626,18,102
4,110,18,102
7,126,18,102
5,103,17,101
4,69,18,102
MRI,309,18,102
4,52,16,100
3,1521,18,102
7,82,16,100
1,45,16,100
1,57,18,102
5,96,21,105
6,60,21,105
2,31,21,105
MRI,167,21,105
5,1189,21,105
1,73,14,98
5,102,21,105
3,46,22,106
6,59,21,105
4,85,22,106
10,31,22,106
4,39,22,106
3,54,22,106
MRI,490,22,106
7,96,22,106
7,11,23,107
1,39,22,106
6,92,23,107
4,63,23,107
MRI,239,15,99
8,1529,18,102
9,360,23,107
10,172,21,105
4,81,23,107
9,308,23,107
9,138,21,105
5,82,23,107
3,11,24,108
4,121,24,108
3,195,21,105
5,21,23,107
5,71,24,108
5,37,24,108
4,114,25,109
MRI,969,21,105
4,54,25,109
4,36,25,109
4,74,25,109
9,163,9,93
8,3419,7,91
2,58,24,108
1,64,23,107
10,1031,23,107
MRI,272,25,109
6,78,0,112
5,62,0,112
3,116,0,112
3,63,25,109
7,120,0,112
3,57,1,113
3,33,1,113
2,14,1,113
9,253,0,112
7,34,0,112
2,40,1,113
2,18,1,113
5,38,1,113
3,73,2,114
3,33,2,114
1,56,1,113
3,19,2,114
5,62,1,113
3,72,2,114
4,47,2,114
4,37,2,114
7,98,2,114
MRI,320,1,113
3,100,25,109
5,112,3,115
1,67,24,108
3,58,3,115
6,41,3,115
4,240,3,115
7,76,3,115
8,3561,0,56
5,115,4,116
7,71,3,115
7,251,14,98
MRI,187,4,116
4,96,4,116
1,34,21,105
5,86,4,116
3,1752,4,116
5,172,25,109
4,67,2,114
1,96,2,114
8,5131,10,94
5,143,7,119
5,539,7,119
5,34,7,119
MRI,366,7,119
1,56,3,115
MRI,288,1,113
6,195,7,119
7,107,8,120
2,71,8,120
3,228,7,119
10,143,7,119
3,51,8,120
6,259,7,119
2,14,8,120
9,79,0,112
2,35,8,120
6,2188,4,116
7,57,9,121
6,66,9,121
4,30,9,121
10,183,9,121
5,2846,8,120
1,50,0,112
7,302,4,116
3,96,10,122
7,85,10,122
2,38,0,112
6,104,9,121
MRI,512,8,120
10,159,10,122
9,247,2,114
3,112,11,123
5,97,11,123
MRI,367,25,109
5,131,10,122
2,59,8,120
10,149,11,123
1,119,8,120
4,52,9,121
1,41,10,122
7,58,9,121
5,94,11,123
7,53,11,123
1,70,9,121
4,2294,11,123
2,83,10,122
10,124,7,119
MRI,135,11,123
2,41,14,126
MRI,170,11,123
9,249,14,126
5,169,14,126
7,34,14,126
6,280,14,126
5,70,14,126
6,169,14,126
3,36,14,126
MRI,209,15,127
3,247,11,123
5,30,15,127
2,12,15,127
2,57,15,127
MRI,846,15,127
5,46,15,127
1,63,14,126
6,86,16,128
3,34,15,127
10,108,15,127
9,142,16,128
3,75,15,127
5,48,16,128
6,155,16,128
4,23,16,128
8,132,16,128
2,197,15,127
1,78,16,128
4,231,17,129
7,3,17,129
3,139,17,129
2,89,17,129
7,158,11,123
5,57,17,129
9,72,9,121
1,103,15,127
4,98,18,130
7,29,18,130
7,309,14,126
4,66,18,130
5,89,18,130
1,106,7,119
10,144,14,126
8,1679,18,130
MRI,472,18,130
7,373,15,127
7,51,14,126
9,157,9,121
1,82,18,130
3,4458,18,130
5,110,21,133
2,75,21,133
6,172,21,133
6,47,21,133
MRI,494,21,133
8,5120,21,77
5,1140,21,133
5,60,21,133
4,4,22,134
10,38,22,134
3,90,22,134
4,32,22,134
MRI,310,22,134
7,51,16,128
7,103,23,135
5,46,23,135
2,1839,22,134
7,115,23,135
3,61,22,134
9,358,23,135
6,44,23,135
5,107,23,135
MRI,331,22,134
4,17,23,135
10,208,21,133
7,183,23,135
7,63,24,136
4,242,24,136
3,59,24,136
5,1656,23,135
9,133,14,126
4,89,23,135
6,87,24,136
5,202,24,136
3,76,25,137
MRI,358,25,137
4,53,25,137
4,70,23,135
4,143,25,137
4,45,25,137
2,19,24,136
4,92,25,137
7,61,24,136
10,1668,23,135
MRI,202,25,137
1,51,24,136
8,4013,21,105
3,237,21,133
7,90,25,137
1,60,22,134
1,121,23,135
7,32,0,140
6,214,0,140
9,248,0,140
2,63,0,140
5,181,0,140
9,261,0,140
5,157,0,140
6,67,0,140
7,1280,0,140
3,88,0,140
5,16,1,141
3,78,1,141
5,29,1,141
3,129,1,141
2,15,1,141
2,57,1,141
7,45,2,142
3,36,2,142
3,46,2,142
3,37,2,142
1,106,0,140
3,12,2,142
4,75,2,142
1,108,21,133
4,37,2,142
10,183,2,142
7,78,2,142
9,260,2,142
5,97,3,143
4,218,3,143
1,44,3,143
MRI,625,1,141
3,111,25,137
3,64,3,143
5,172,2,142
5,91,4,144
4,119,4,144
9,119,16,128
4,58,2,142
8,2398,0,112
7,46,0,140
4,98,4,144
4,32,4,144
MRI,262,4,144
1,99,1,141
5,45,4,144
5,1376,4,144
MRI,327,4,144
2,78,1,141
10,270,0,140
9,129,2,142
3,3208,4,144
8,2902,0,84
1,131,2,142
5,82,7,147
6,795,4,144
6,75,7,147
6,128,7,147
2,35,7,147
3,109,7,147
5,771,7,147
3,21,8,148
3,86,8,148
2,53,8,148
MRI,312,8,148
2,17,8,148
5,101,25,137
2,66,8,148
4,18,9,149
7,59,9,149
4,41,9,149
9,171,9,149
6,265,9,149
5,206,9,149
7,66,9,149
5,1279,8,148
6,69,9,149
1,67,8,148
7,66,9,149
7,210,8,148
MRI,428,7,147
5,97,10,150
8,2775,0,0
5,58,7,147
6,150,10,150
1,24,7,147
9,55,9,149
10,166,11,151
MRI,331,11,151
7,120,11,151
1,52,10,150
4,411,10,150
3,243,11,151
5,83,11,151
3,37,11,151
10,125,7,147
4,72,9,149
10,90,7,147
5,138,11,151
4,3176,11,151
9,182,21,133
1,120,11,151
6,142,14,154
9,208,14,154
6,124,14,154
3,121,14,154
MRI,406,7,147
5,40,14,154
7,57,14,154
7,68,14,154
5,298,14,154
5,6,15,155
9,195,14,154
3,68,15,155
2,108,14,154
2,35,15,155
2,15,15,155
MRI,356,15,155
3,16,10,150
5,68,15,155
10,71,15,155
1,58,14,154
9,166,16,156
6,91,16,156
5,25,16,156
MRI,372,15,155
7,90,16,156
5,82,16,156
9,696,16,156
10,152,16,156
2,77,17,157
7,93,15,155
5,56,17,157
3,64,17,157
4,1935,16,156
6,58,16,156
5,103,18,158
4,90,18,158
4,59,18,158
7,44,16,156
4,63,16,156
1,111,15,155
3,1955,18,158
7,95,18,158
5,55,17,157
7,46,16,156
MRI,501,18,158
10,107,14,154
MRI,335,18,158
MRI,173,8,148
2,82,21,161
5,73,21,161
MRI,250,21,161
5,62,21,161
9,233,21,161
6,96,21,161
MRI,214,21,161
6,235,21,161
7,373,15,155
4,19,22,162
3,29,22,162
MRI,358,22,162
10,54,22,162
5,1801,21,161
3,45,22,162
10,152,21,161
4,48,22,162
7,266,23,163
9,272,23,163
4,34,23,163
6,90,23,163
2,2342,22,162
5,82,23,163
6,82,23,163
7,66,23,163
7,186,14,154
1,123,4,144
MRI,132,22,162
3,31,24,164
5,98,24,164
2,84,24,164
4,375,24,164
10,1337,23,163
3,141,25,165
7,77,24,164
1,89,9,149
4,114,23,163
4,51,25,165
5,65,23,163
4,52,25,165
1,36,21,161
4,103,25,165
4,79,25,165
4,108,23,163
7,122,25,165
MRI,442,25,165
1,94,16,156
9,295,23,163
3,86,21,161
9,181,21,161
8,3031,14,126
5,180,25,165
3,72,0,168
1,51,24,164
6,50,0,168
6,131,0,168
7,115,0,168
5,19,0,168
2,57,1,169
MRI,288,1,169
9,220,0,168
3,42,1,169
5,13,1,169
5,177,0,168
10,263,0,168
2,14,1,169
9,184,0,168
5,32,1,169
8,4002,7,119
7,47,2,170
3,105,25,165
3,6,2,170
2,68,0,168
3,41,1,169
5,140,2,170
4,36,2,170
5,54,2,170
4,7,2,170
3,76,2,170
3,72,2,170
7,94,2,170
8,4097,21,133
8,920,2,170
1,52,1,169
10,1969,1,169
5,124,3,171
6,133,3,171
3,47,3,171
1,70,3,171
4,321,3,171
7,215,1,169
5,89,3,171
2,25,3,171
9,179,2,170
3,69,2,170
4,93,4,172
1,90,4,172
4,38,4,172
MRI,421,4,172
5,20,4,172
3,2731,4,172
6,102,7,175
5,87,7,175
MRI,275,7,175
MRI,327,4,172
5,73,7,175
9,137,2,170
5,67,4,172
1,43,0,168
6,257,4,172
2,9,8,176
2,76,8,176
7,6,0,168
2,153,8,176
5,99,9,177
2,15,8,176
5,40,9,177
4,41,2,170
6,63,9,177
MRI,220,8,176
4,10,9,177
2,110,7,175
4,40,9,177
7,64,9,177
3,82,8,176
MRI,257,7,175
3,31,10,178
7,71,10,178
3,50,8,176
6,46,9,177
2,57,10,178
5,108,10,178
1,81,9,177
4,314,10,178
5,43,11,179
7,86,3,171
10,522,11,179
8,4405,14,154
4,1347,11,179
MRI,379,11,179
7,66,3,171
MRI,174,11,179
3,15,11,179
1,97,2,170
7,75,10,178
1,107,8,176
7,24,14,182
5,68,14,182
6,200,14,182
6,99,14,182
9,458,14,182
5,74,14,182
3,39,14,182
7,64,14,182
3,68,7,175
3,57,15,183
2,22,15,183
MRI,510,15,183
1,112,11,179
2,62,15,183
5,48,15,183
3,64,15,183
10,148,15,183
5,57,15,183
5,8,16,184
9,116,16,184
7,51,16,184
8,2485,14,98
4,74,16,184
7,66,16,184
6,22,16,184
1,87,16,184
7,202,11,179
6,100,17,185
3,92,17,185
7,103,17,185
9,77,16,184
4,642,17,185
7,71,15,183
10,285,14,182
1,128,18,186
2,65,17,185
5,46,17,185
5,91,18,186
5,86,18,186
4,71,18,186
3,1758,18,186
7,93,18,186
5,84,17,185
1,119,14,182
MRI,465,18,186
8,3441,0,140
1,52,7,175
6,133,16,184
6,50,21,189
1,95,15,183
5,47,21,189
MRI,317,21,189
6,68,21,189
5,33,21,189
3,239,21,189
4,29,22,190
2,79,14,182
4,35,22,190
4,121,23,191
9,93,23,191
10,97,22,190
9,301,23,191
7,83,23,191
4,22,23,191
6,97,23,191
7,117,22,190
5,35,23,191
5,117,23,191
5,649,22,190
7,81,24,192
5,72,24,192
5,967,21,189
3,67,24,192
2,3794,22,190
1,73,22,190
MRI,292,22,190
2,65,10,150
4,594,23,191
1,90,23,191
5,118,24,192
4,75,25,193
9,98,16,184
4,367,24,192
4,84,25,193
MRI,551,25,193
4,64,25,193
8,5416,21,161
4,13,25,193
7,51,24,192
3,66,25,193
7,585,25,193
1,50,21,189
1,107,24,192
10,152,21,189
9,77,21,189
9,123,0,196
