OT,surgery_duration,schedule_day,simulation_day
MRI,247,25,53
5,122,25,53
4,60,25,53
3,28,25,53
4,53,25,53
MRI,428,25,53
5,55,25,53
4,86,25,53
4,61,25,53
9,102,23,51
1,90,25,53
1,114,23,51
3,68,0,56
5,82,0,56
9,206,23,51
2,57,0,56
7,36,0,56
6,66,0,56
3,90,25,53
10,130,21,49
2,110,1,57
3,61,1,57
5,27,1,57
7,71,1,57
MRI,288,1,57
2,97,1,57
9,187,0,56
3,228,24,52
2,16,1,57
3,44,2,58
7,72,2,58
4,5,2,58
9,227,2,58
5,49,2,58
7,32,0,56
7,88,2,58
9,168,2,58
1,81,0,56
4,631,17,45
1,50,3,59
3,131,3,59
7,156,22,50
9,167,0,56
4,457,3,59
5,37,4,60
5,8,3,59
4,94,4,60
4,84,4,60
MRI,397,4,60
MRI,136,4,60
1,125,4,60
7,50,4,60
1,65,22,50
MRI,198,1,57
1,68,1,57
5,113,4,60
9,140,7,35
3,4141,4,60
MRI,248,7,63
6,48,7,63
6,9,7,63
2,27,7,63
MRI,168,7,63
7,37,1,57
5,18,8,64
5,120,7,63
8,4835,14,14
1,128,2,58
2,69,21,49
2,10,8,64
5,21,8,64
5,97,8,64
3,62,8,64
5,26,7,63
9,147,0,56
6,123,9,65
8,2774,0,28
10,138,9,65
MRI,212,8,64
5,96,9,65
1,146,9,65
3,40,8,64
5,116,10,66
5,160,9,65
7,57,10,66
4,2681,9,65
MRI,271,11,67
MRI,305,8,64
3,2,11,67
3,68,11,67
5,43,11,67
6,92,9,65
9,182,9,65
1,49,10,66
8,5395,7,35
1,61,8,64
4,2412,11,67
1,82,7,63
1,95,14,70
7,112,14,70
7,57,14,70
2,36,14,70
7,1827,9,65
5,84,14,70
6,123,14,70
6,1010,4,60
3,524,14,70
MRI,143,15,71
9,188,14,70
5,58,15,71
1,92,15,71
MRI,237,15,71
7,40,15,71
1,142,11,67
7,53,15,71
10,133,15,71
5,54,15,71
5,40,15,71
5,22,16,72
5,39,15,71
4,17,16,72
7,29,16,72
7,40,16,72
9,125,14,70
3,219,7,63
5,102,16,72
2,77,17,73
1,62,16,72
6,201,17,73
1,25,17,73
4,553,17,73
10,1009,17,73
3,48,17,73
5,44,18,74
MRI,318,18,74
3,45,18,74
4,93,18,74
7,30,17,73
10,218,7,63
9,396,16,72
MRI,278,18,74
9,289,9,65
5,58,21,77
9,95,21,77
5,10,21,77
MRI,219,21,77
2,135,21,77
2,5,22,78
6,162,21,77
MRI,458,22,78
4,45,22,78
5,32,22,78
3,67,18,74
3,48,22,78
4,32,22,78
