OT,surgery_duration,schedule_day,simulation_day
2,22,21,49
4,131,22,50
MRI,30,21,49
5,39,23,51
7,88,23,51
4,280,23,51
6,148,23,51
5,1030,23,51
1,105,23,51
2,77,24,52
1,59,22,50
7,499,23,51
MRI,38,25,53
MRI,50,25,53
MRI,51,25,53
4,221,24,52
3,71,25,53
9,128,23,51
7,74,25,53
4,652,25,53
1,993,25,53
9,80,23,51
5,229,24,52
7,56,22,50
MRI,48,25,53
3,165,23,51
3,231,21,49
1,58,24,52
9,68,0,56
7,1169,0,56
5,1214,0,56
1,52,0,56
2,82,14,42
6,1486,0,56
MRI,42,1,57
1,59,21,49
MRI,67,1,57
7,55,1,57
2,304,1,57
9,1689,0,56
1,53,1,57
MRI,45,1,57
2,180,1,57
2,65,1,57
7,58,2,58
4,89,2,58
3,62,2,58
3,26,1,57
8,606,2,58
5,775,2,58
2,89,0,56
9,130,2,58
8,476,21,49
5,1299,3,59
MRI,47,4,60
MRI,70,4,60
3,235,4,60
1,93,3,59
1,88,2,58
7,791,2,58
10,1016,21,49
5,1477,4,60
4,2096,4,60
1,92,4,60
9,1964,16,44
2,60,7,63
MRI,34,7,63
10,130,7,63
4,78,2,58
6,714,7,63
9,1484,23,51
MRI,38,8,64
MRI,76,4,60
8,103,8,64
10,309,7,63
5,98,8,64
5,120,8,64
5,173,8,64
3,174,0,56
5,25,9,65
6,143,9,65
6,307,9,65
1,102,8,64
9,1324,9,65
4,602,9,65
8,1326,9,65
7,49,9,65
MRI,42,8,64
1,115,9,65
9,522,7,63
8,576,0,56
5,32,9,65
5,59,11,67
4,133,11,67
3,110,11,67
3,51,11,67
3,74,11,67
MRI,45,11,67
MRI,73,11,67
5,42,10,66
1,95,7,63
1,59,10,66
5,802,7,63
3,39,1,57
3,151,14,42
5,480,14,70
7,53,14,70
2,42,14,70
1,96,11,67
6,986,14,70
2,65,3,59
7,57,15,71
7,604,14,70
9,66,9,65
3,71,15,71
MRI,49,15,71
5,289,15,71
5,167,15,71
1,85,14,70
3,49,15,71
9,60,9,65
6,93,16,72
MRI,32,15,71
7,47,16,72
3,473,14,14
1,101,15,71
2,50,17,73
3,235,7,63
7,32,17,73
9,752,14,70
MRI,57,18,74
9,1107,16,72
5,2270,16,72
7,369,18,74
8,107,16,72
MRI,73,18,74
3,172,14,70
1,96,17,73
4,1379,18,74
MRI,34,18,74
MRI,51,18,74
4,121,16,72
3,217,18,74
1,82,16,72
10,570,0,56
MRI,49,18,74
1,1418,18,74
6,181,21,77
MRI,61,21,77
8,380,7,63
10,131,16,72
MRI,22,21,77
5,728,21,77
5,32,21,77
7,75,17,73
5,261,22,78
5,105,22,78
7,391,16,72
5,147,22,78
2,45,21,77
4,23,22,78
2,234,22,78
8,511,14,70
4,21,22,78
10,127,23,79
3,487,22,78
4,104,16,72
4,327,23,79
3,318,10,38
MRI,46,21,77
4,63,23,79
2,119,24,80
6,120,23,79
1,91,21,77
MRI,55,25,81
5,1042,24,80
7,77,22,78
3,418,25,81
MRI,39,21,77
1,81,22,78
6,2400,24,80
MRI,25,25,81
MRI,39,25,81
4,1384,25,81
9,74,21,77
1,93,23,79
3,86,25,81
7,70,22,78
MRI,33,22,78
1,92,24,80
8,708,21,77
9,83,0,84
5,288,0,84
4,248,24,80
6,346,0,84
1,35,0,84
9,809,0,84
5,324,0,84
9,2043,21,77
1,532,25,81
7,1288,0,84
7,88,25,81
3,29,1,85
1,49,1,85
2,215,1,85
MRI,43,1,85
2,217,1,85
2,24,0,84
5,62,1,85
3,37,1,85
MRI,59,1,85
7,61,1,85
4,113,2,86
7,67,2,86
7,398,2,86
8,906,2,86
5,1018,2,86
9,56,2,86
MRI,57,1,85
2,84,3,87
4,114,3,87
3,70,2,86
3,285,21,77
MRI,42,4,88
10,285,2,86
MRI,57,4,88
3,323,4,88
5,992,4,88
4,964,4,88
1,75,3,87
9,317,2,86
MRI,24,4,88
MRI,54,4,88
2,72,7,91
MRI,62,7,91
6,311,7,91
10,77,7,91
MRI,38,7,91
MRI,47,7,91
9,72,23,79
MRI,28,4,88
10,125,7,91
MRI,46,7,91
3,577,8,92
MRI,23,8,92
1,60,4,88
3,123,24,80
5,159,8,92
5,132,8,92
MRI,57,8,92
3,257,3,87
5,114,8,92
4,85,2,86
9,1606,7,91
MRI,44,8,92
6,338,9,93
7,81,8,92
6,57,9,93
10,56,9,93
2,35,10,94
8,574,0,84
5,23,9,93
5,36,10,94
4,142,9,93
4,29,10,94
9,2140,9,93
6,93,10,94
7,49,9,93
1,87,7,91
8,542,7,91
MRI,68,11,95
MRI,48,11,95
MRI,58,11,95
4,155,11,95
3,401,11,95
4,193,11,95
9,17,9,93
3,177,23,79
MRI,48,11,95
MRI,67,11,95
1,55,9,93
6,144,11,95
9,102,9,93
5,1122,11,95
3,87,11,95
1,89,8,92
1,77,2,86
7,96,14,98
6,540,14,98
1,64,11,95
9,870,14,98
10,121,14,98
7,55,15,99
MRI,76,15,99
MRI,31,15,99
3,32,15,99
3,29,15,99
MRI,69,15,99
5,1881,14,98
MRI,53,15,99
MRI,51,15,99
1,55,15,99
4,114,16,100
6,89,16,100
7,77,15,99
4,82,16,100
7,897,14,98
