OT,surgery_duration,schedule_day,simulation_day
6,632,0,0
5,668,0,0
9,67,0,0
MRI,51,1,1
7,1140,0,0
7,50,1,1
MRI,50,1,1
2,116,1,1
1,56,0,0
2,70,1,1
5,63,1,1
1,46,1,1
2,167,1,1
3,70,1,1
7,58,1,1
4,126,2,2
3,55,1,1
9,61,2,2
4,455,2,2
MRI,57,1,1
4,74,2,2
7,917,2,2
8,694,1,1
3,38,2,2
MRI,58,1,1
5,989,2,2
2,47,3,3
7,99,1,1
7,42,3,3
2,46,0,0
6,223,3,3
MRI,10,4,4
MRI,36,4,4
7,48,2,2
MRI,49,4,4
8,1538,2,2
3,259,2,2
7,76,1,1
3,357,0,0
MRI,41,4,4
4,177,3,3
4,1767,4,4
3,191,3,3
10,509,2,2
MRI,42,4,4
10,247,1,1
1,81,4,4
MRI,50,7,7
3,155,4,4
6,484,7,7
5,101,8,8
10,76,7,7
8,96,8,8
5,194,8,8
MRI,29,7,7
7,38,8,8
5,909,3,3
5,198,8,8
MRI,48,7,7
9,3117,7,7
5,47,9,9
10,94,9,9
7,26,9,9
1,62,3,3
6,95,9,9
6,742,9,9
9,62,9,9
8,927,9,9
MRI,47,8,8
2,150,8,8
10,115,9,9
7,100,9,9
5,57,10,10
5,74,9,9
5,147,1,1
8,410,0,0
7,55,9,9
4,234,9,9
MRI,41,11,11
5,956,10,10
10,111,7,7
3,391,11,11
3,190,7,7
5,914,11,11
5,73,9,9
MRI,65,11,11
3,129,11,11
3,66,11,11
MRI,50,8,8
1,103,7,7
1,91,8,8
7,83,14,14
10,137,7,7
5,324,14,14
1,60,2,2
9,1108,14,14
10,73,14,14
5,671,14,14
3,27,15,15
9,84,9,9
5,124,15,15
6,674,14,14
5,208,15,15
10,144,14,14
5,447,15,15
7,62,16,16
7,58,15,15
1,131,10,10
8,83,16,16
4,94,16,16
6,97,16,16
7,633,14,14
5,1182,4,4
5,1757,16,16
9,1422,16,16
7,71,17,17
4,83,16,16
2,49,17,17
1,64,15,15
4,828,18,18
3,105,18,18
10,235,16,16
5,716,17,17
MRI,37,18,18
1,73,16,16
MRI,52,18,18
4,195,17,17
4,46,16,16
7,688,16,16
5,964,7,7
6,225,11,11
6,346,21,21
9,2032,0,0
7,77,22,22
7,53,22,22
4,30,22,22
2,57,7,7
5,150,22,22
1,98,17,17
7,266,18,18
5,164,22,22
4,54,22,22
5,150,22,22
2,140,22,22
1,89,14,14
2,71,14,14
4,214,23,23
MRI,58,21,21
5,901,21,21
8,107,16,16
7,47,25,25
MRI,46,25,25
3,153,21,21
3,395,25,25
5,150,23,23
8,488,14,14
MRI,40,25,25
2,59,21,21
4,777,25,25
3,61,25,25
9,93,23,23
MRI,44,25,25
2,58,0,28
1,69,24,24
1,114,22,22
9,636,0,28
5,437,0,28
3,208,23,23
1,49,1,29
9,31,0,28
7,46,1,29
6,497,0,28
MRI,68,1,29
2,394,1,29
2,256,1,29
7,1247,0,28
1,93,21,21
2,97,10,10
5,27,23,23
4,295,2,30
1,111,23,23
3,62,2,30
2,179,3,31
7,85,2,30
3,32,1,29
MRI,76,4,32
4,66,2,30
8,732,2,30
5,18,21,21
MRI,76,4,32
MRI,58,4,32
9,2003,2,30
5,1303,3,31
10,537,21,21
4,1495,4,32
5,858,2,30
7,800,4,4
7,418,2,30
5,1018,4,32
2,74,7,35
6,272,7,35
1,72,3,31
6,289,7,35
8,593,7,7
MRI,74,8,36
MRI,47,1,29
3,250,10,10
1,86,4,32
5,352,8,36
8,81,8,36
5,231,8,36
10,133,7,35
5,65,9,37
9,193,9,37
9,121,9,37
9,60,2,30
10,62,9,37
6,95,9,37
6,344,9,37
10,36,9,37
7,53,9,37
4,663,9,37
6,98,10,38
1,74,7,35
6,71,10,38
8,2457,9,37
10,72,7,35
5,23,11,39
MRI,38,11,39
3,94,11,39
4,111,11,39
10,115,7,35
MRI,69,7,35
9,52,2,30
1,82,8,36
5,53,10,38
3,32,11,39
8,398,7,35
7,584,4,32
3,916,11,39
7,37,14,42
5,319,14,42
7,707,14,42
6,256,14,42
5,823,14,42
7,66,15,43
MRI,33,15,43
3,61,15,43
5,233,15,43
9,80,23,23
5,178,15,43
6,593,14,42
5,1033,7,35
5,180,15,43
4,91,16,44
2,27,10,38
6,103,16,44
8,87,16,44
9,1381,16,44
10,130,14,42
5,1358,16,44
7,48,16,44
1,70,9,37
7,90,15,43
6,100,16,44
MRI,50,18,46
MRI,37,18,46
1,117,2,30
4,741,18,46
3,125,18,46
3,66,18,46
1,56,14,42
2,68,17,45
1,2178,18,46
5,40,9,37
1,68,11,39
MRI,65,21,49
8,537,21,21
5,843,18,46
5,743,21,49
6,363,21,49
4,68,16,44
4,41,22,50
2,141,22,50
5,146,22,50
4,25,22,50
5,155,22,50
5,357,22,50
7,67,22,50
8,199,0,28
5,902,23,51
7,500,23,51
10,218,16,44
6,121,23,51
3,382,25,53
5,51,21,49
1,171,23,51
7,668,18,46
3,154,21,49
7,1091,24,52
2,54,21,49
3,350,7,35
5,697,0,56
9,106,21,49
9,981,0,56
3,133,23,51
MRI,66,18,46
1,34,0,56
4,1459,25,53
MRI,31,1,57
1,78,24,52
7,44,1,57
6,1007,0,56
MRI,69,1,57
2,160,1,57
1,62,21,49
9,117,2,58
3,239,0,56
2,119,1,57
5,87,1,57
4,152,2,58
7,391,2,58
5,601,2,58
3,137,2,58
1,52,1,57
7,1185,0,56
8,2517,2,58
5,1447,3,59
5,832,4,60
3,127,3,59
9,140,21,49
4,79,2,58
4,1544,4,60
8,341,14,42
3,285,4,60
4,165,3,59
3,91,1,57
1,78,2,58
10,261,2,58
1,52,3,59
MRI,44,7,63
6,240,7,63
6,608,7,63
5,166,8,64
5,318,8,64
1,62,4,60
MRI,71,8,64
5,28,9,65
7,101,9,65
6,386,9,65
6,87,9,65
10,129,7,63
10,96,7,63
9,76,9,65
1,67,22,50
4,212,9,65
MRI,60,11,67
8,67,8,64
3,164,11,67
MRI,53,11,67
6,69,10,66
5,78,11,67
2,35,7,63
1,76,8,64
9,1302,7,35
5,513,14,70
6,304,14,70
7,51,14,70
1,133,7,63
MRI,38,15,71
7,1280,14,70
MRI,70,15,71
5,119,15,71
5,203,15,71
9,1908,7,63
5,144,15,71
6,108,16,72
4,175,16,72
4,31,16,72
10,119,7,63
9,1942,16,72
1,61,14,70
7,49,2,58
5,1340,16,72
4,988,18,74
3,97,18,74
3,92,18,74
3,149,24,52
3,70,14,42
5,43,10,66
MRI,66,18,74
1,78,9,65
8,84,7,63
1,44,11,67
MRI,62,21,77
9,1376,14,42
6,608,21,77
8,528,0,56
5,1077,21,77
5,575,7,63
5,339,22,78
4,24,22,78
2,269,22,78
4,34,22,78
7,82,22,78
5,97,22,78
7,88,23,79
5,45,21,77
1,79,15,71
4,53,22,78
5,971,23,79
MRI,51,22,78
6,135,23,79
7,998,24,80
3,177,14,70
7,448,23,79
MRI,45,25,81
4,255,23,79
MRI,27,25,81
4,1060,25,81
3,127,25,81
5,54,23,79
3,217,21,77
6,136,23,79
1,73,23,79
1,82,22,78
2,59,17,73
1,96,24,80
2,28,0,84
5,271,0,84
6,619,0,84
9,62,0,84
1,60,0,84
5,502,0,84
9,1231,14,70
MRI,48,1,85
MRI,29,1,85
7,82,1,85
1,29,1,85
9,1152,2,58
2,152,1,85
2,208,1,85
3,38,1,85
3,82,2,86
4,428,2,86
7,700,0,84
2,64,22,78
5,788,2,86
2,37,14,42
3,194,23,79
5,896,3,87
8,489,21,77
5,976,4,88
4,1063,4,88
1,36,21,77
6,310,3,87
1,40,3,87
1,75,4,88
1,91,2,86
7,55,25,81
MRI,62,4,88
2,63,3,87
6,393,7,91
8,86,8,92
5,121,8,92
5,163,8,92
9,83,2,86
5,378,8,92
6,318,9,93
6,78,9,93
5,51,9,93
5,31,9,93
4,496,9,93
1,59,8,92
3,112,11,95
10,147,7,91
3,91,7,91
10,361,0,84
7,1009,4,88
3,108,0,84
1,54,7,91
1,76,10,94
7,58,14,98
6,456,14,98
5,711,14,98
1,60,11,95
5,1048,7,91
8,472,0,84
5,99,15,99
5,149,15,99
5,156,15,99
10,756,21,77
7,71,16,100
8,94,16,100
6,115,16,100
3,35,1,85
8,109,16,100
7,1669,16,100
MRI,48,8,92
4,279,16,100
7,1329,14,98
MRI,53,18,102
7,605,18,102
4,720,18,102
3,169,18,102
3,101,18,102
1,70,16,100
10,194,14,98
1,84,9,93
5,1657,16,100
