OT,surgery_duration,schedule_day,simulation_day
1,79,8,64
1,120,7,63
7,609,8,64
4,52,9,65
6,168,9,65
1,97,3,59
9,163,9,65
5,133,9,65
5,100,10,66
7,49,10,66
1,109,9,65
2,3582,8,64
8,3499,21,49
MRI,460,4,60
6,149,10,66
3,35,11,67
3,71,11,67
7,104,11,67
9,122,2,58
3,42,10,66
1,45,10,66
8,728,11,67
MRI,229,11,67
10,397,7,63
MRI,202,11,67
7,39,14,70
2,91,14,70
6,99,14,70
5,79,14,70
7,78,9,65
5,179,11,67
MRI,114,15,71
2,214,15,71
3,48,15,71
7,65,14,70
9,50,23,51
5,61,15,71
5,79,15,71
10,61,15,71
1,104,15,71
9,112,16,72
4,13,16,72
4,39,16,72
7,124,16,72
6,218,16,72
5,77,15,71
3,239,14,70
7,85,17,73
3,72,15,71
5,130,17,73
1,74,16,72
6,180,17,73
2,64,17,73
MRI,531,18,74
7,30,18,74
4,55,18,74
4,37,16,72
6,85,16,72
1,131,11,67
1,88,14,70
1,57,17,73
4,44,16,72
5,60,16,72
3,2524,18,74
9,191,14,70
5,86,18,74
5,51,21,77
MRI,395,21,77
6,163,21,77
5,112,21,77
1,60,21,77
8,7053,14,42
6,193,21,77
MRI,320,21,77
2,41,21,77
4,40,22,78
10,51,22,78
5,150,11,67
2,897,22,78
4,81,22,78
MRI,503,22,78
7,39,23,79
7,98,23,79
4,19,23,79
7,92,23,79
4,52,23,79
4,75,23,79
5,953,22,78
4,111,23,79
5,122,23,79
9,88,23,79
6,72,23,79
1,53,22,78
8,131,23,79
7,65,23,79
5,59,23,79
5,100,24,80
7,62,24,80
5,81,24,80
6,190,23,79
4,465,24,80
3,42,22,78
4,80,25,81
MRI,397,25,81
5,52,24,80
4,20,23,79
4,53,25,81
1,75,25,81
4,29,25,81
3,90,24,80
3,2139,25,81
2,27,24,80
1,43,24,80
1,47,23,79
5,98,0,84
9,189,21,77
6,106,0,84
7,102,0,84
3,119,1,85
7,78,0,84
MRI,415,1,85
5,17,1,85
8,5181,7,35
2,46,0,84
MRI,334,1,85
3,6,2,86
5,24,1,85
9,82,2,86
5,78,2,86
9,159,2,86
3,18,2,86
1,128,1,85
2,65,3,87
7,75,3,87
4,2333,2,86
5,147,25,81
MRI,204,4,88
4,76,4,88
4,101,4,88
MRI,157,4,88
MRI,196,4,88
3,86,4,88
3,973,4,88
5,58,4,88
1,66,4,88
2,171,1,85
6,72,7,91
MRI,355,7,91
6,139,7,91
9,125,7,91
9,184,21,49
MRI,287,7,91
5,53,8,92
3,38,8,92
5,36,7,91
2,50,7,91
3,26,8,92
5,14,8,92
1,90,0,84
5,46,8,92
9,246,9,93
4,112,9,93
1,4,3,87
5,72,7,91
2,21,10,94
2,51,8,92
7,52,10,94
1,62,10,94
3,147,21,77
9,136,9,93
3,13,11,95
MRI,264,11,95
8,4018,0,56
7,48,11,95
8,581,11,95
MRI,133,8,92
5,60,10,94
3,23,11,95
MRI,336,8,92
1,57,11,95
1,55,7,91
MRI,266,11,95
2,104,14,98
5,173,14,98
3,133,7,63
1,52,9,93
7,13,14,98
9,125,14,98
7,72,14,98
10,99,15,99
5,6,15,99
MRI,332,15,99
3,83,15,99
3,31,15,99
5,33,15,99
5,73,16,100
4,63,16,100
6,223,14,98
6,113,16,100
4,13,16,100
8,5490,7,63
9,154,16,100
1,117,14,98
2,88,15,99
1,157,15,99
10,74,14,98
7,77,17,101
5,29,17,101
2,57,15,99
2,120,17,101
7,54,18,102
1,49,16,100
3,1079,14,98
5,92,18,102
4,85,18,102
4,76,16,100
MRI,252,18,102
3,1981,18,102
MRI,181,15,99
5,28,16,100
MRI,529,18,102
2,105,21,105
5,94,21,105
1,118,17,101
MRI,222,21,105
6,116,21,105
9,193,16,100
MRI,774,21,105
6,124,21,105
3,296,7,91
4,15,22,106
MRI,371,22,106
10,60,22,106
4,37,22,106
3,29,22,106
2,675,22,106
5,107,21,105
4,63,23,107
5,69,23,107
5,62,23,107
9,154,23,107
9,86,23,107
4,45,23,107
3,17,22,106
10,72,23,107
4,20,23,107
6,140,23,107
7,66,23,107
4,62,23,107
4,30,23,107
6,120,23,107
1,48,23,107
4,325,24,108
3,31,24,108
5,45,24,108
3,271,21,105
1,52,24,108
4,68,25,109
2,104,24,108
4,63,25,109
4,104,25,109
7,86,25,109
8,3228,21,77
7,36,23,107
7,102,25,109
1,79,22,106
7,70,0,112
2,81,0,112
7,41,0,112
6,62,0,112
1,116,21,105
3,2180,25,109
2,24,1,113
MRI,202,1,113
5,21,1,113
5,105,0,112
2,42,1,113
8,3950,14,70
MRI,360,1,113
3,215,0,112
5,62,1,113
7,72,2,114
3,48,2,114
1,49,25,109
7,68,2,114
10,362,21,105
5,91,2,114
9,108,2,114
3,68,3,115
7,96,3,115
5,71,2,114
4,2340,2,114
3,33,2,114
MRI,300,4,116
4,183,4,116
3,34,4,116
9,162,23,107
3,97,2,114
5,66,3,115
3,2645,4,116
MRI,455,22,106
7,25,24,108
1,54,0,112
10,1202,2,114
5,85,7,119
6,245,7,119
5,70,7,119
1,67,3,115
6,159,7,119
MRI,200,7,119
5,34,8,120
5,20,8,120
MRI,297,7,119
5,29,8,120
10,246,7,119
7,64,9,121
6,76,9,121
5,62,9,121
2,2277,8,120
4,77,9,121
7,31,9,121
9,176,9,121
1,58,8,120
1,78,1,113
1,62,10,122
7,337,8,120
4,591,10,122
1,50,7,119
2,66,7,119
3,44,11,123
3,20,11,123
5,89,10,122
MRI,241,11,123
MRI,309,11,123
8,6744,0,84
1,101,11,123
3,113,11,123
8,256,11,123
3,134,10,122
7,114,11,123
MRI,283,8,120
5,186,11,123
2,40,14,126
9,125,14,126
7,70,14,126
5,97,14,126
10,279,14,126
7,79,14,126
5,121,14,126
3,48,15,127
5,63,15,127
MRI,329,15,127
9,108,7,119
2,109,15,127
3,649,14,126
6,55,14,126
10,127,15,127
5,55,15,127
1,125,15,127
4,100,16,128
4,12,16,128
4,28,16,128
3,52,15,127
5,53,16,128
6,166,16,128
7,138,16,128
5,13,17,129
6,247,17,129
8,5141,14,98
10,339,16,128
4,33,16,128
2,47,17,129
1,17,17,129
1,114,16,128
MRI,251,18,130
5,111,18,130
4,63,18,130
9,79,14,126
1,86,14,126
MRI,226,18,130
5,95,18,130
6,274,18,130
6,186,16,128
3,3015,18,130
5,106,21,133
MRI,538,21,133
6,66,21,133
5,86,21,133
10,40,22,134
MRI,303,22,134
4,32,22,134
2,49,21,133
3,172,21,133
4,58,22,134
2,1282,22,134
8,6517,0,112
2,42,22,134
2,103,22,134
1,63,23,135
4,4,22,134
4,35,23,135
5,99,23,135
4,49,23,135
9,202,23,135
7,98,23,135
4,17,23,135
7,54,24,136
9,119,16,128
4,561,24,136
3,54,24,136
1,44,22,134
8,3695,21,105
4,115,25,137
7,77,25,137
7,5,25,137
3,241,7,119
4,17,25,137
8,5190,7,91
4,32,23,135
1,30,25,137
6,41,23,135
10,154,21,133
MRI,547,25,137
9,178,14,98
9,117,21,133
2,24,0,140
5,203,0,140
7,105,0,140
2,64,24,136
1,58,0,140
4,48,25,137
6,180,0,140
10,184,0,140
5,93,0,140
9,111,23,135
3,37,0,140
8,4951,7,119
5,31,1,141
7,94,0,140
5,39,1,141
7,170,1,141
MRI,354,1,141
MRI,944,1,141
5,21,2,142
3,39,1,141
9,229,2,142
3,61,2,142
3,47,1,141
3,59,2,142
3,7,2,142
9,234,2,142
5,75,2,142
2,100,1,141
1,146,1,141
5,34,3,143
7,58,2,142
4,2038,2,142
7,110,2,142
3,26,4,144
5,135,4,144
MRI,368,4,144
4,139,4,144
7,84,3,143
4,47,4,144
1,111,24,136
2,37,3,143
MRI,199,4,144
4,65,23,135
7,123,2,142
1,63,21,133
8,3382,14,126
6,75,7,147
6,88,7,147
2,82,7,147
9,141,7,147
MRI,336,7,147
10,1106,2,142
5,26,7,147
MRI,281,7,147
3,20,8,148
3,509,4,144
3,21,8,148
MRI,273,8,148
5,121,7,147
2,103,8,148
5,30,8,148
5,19,8,148
5,14,8,148
1,106,8,148
1,43,3,143
9,115,9,149
7,59,9,149
7,1,9,149
9,87,9,149
9,208,9,149
1,92,9,149
6,102,9,149
5,8,9,149
5,64,9,149
3,222,0,84
MRI,461,8,148
1,46,10,150
4,55,9,149
7,57,9,149
6,161,10,150
7,85,10,150
3,65,8,148
MRI,261,11,151
3,21,11,151
10,1131,9,149
7,48,11,151
2,127,10,150
MRI,445,11,151
MRI,118,11,151
5,79,10,150
