OT,surgery_duration,schedule_day,simulation_day
4,262,2,58
10,175,1,57
4,450,2,58
1,69,0,56
3,79,2,58
3,148,2,58
2,33,1,57
7,61,3,59
9,1561,2,58
3,133,2,58
4,48,2,58
3,49,3,59
10,88,3,59
4,75,3,59
1,54,3,59
5,1653,2,58
1,58,2,58
MRI,54,4,60
8,405,0,56
3,78,4,60
3,378,4,60
4,1193,4,60
MRI,47,4,60
5,977,4,60
3,632,25,53
7,37,2,58
8,393,4,60
1,83,1,57
MRI,71,7,63
5,47,7,63
6,632,7,63
MRI,59,7,63
5,288,1,57
1,51,4,60
5,1271,7,63
3,312,8,64
10,387,14,42
8,50,8,64
10,192,7,63
10,130,7,63
2,134,8,64
2,108,8,64
2,308,8,64
3,722,0,56
4,219,9,65
6,222,9,65
4,54,9,65
2,104,8,64
7,61,9,65
4,106,9,65
6,108,9,65
3,245,7,63
5,1775,9,65
9,59,9,65
3,29,10,66
1,77,9,65
7,67,10,66
10,135,10,66
5,1793,10,66
10,55,11,67
8,492,7,63
2,61,24,52
7,57,11,67
1,85,8,64
9,106,23,51
7,64,9,65
1,108,7,63
7,151,8,64
MRI,35,11,67
7,85,14,70
6,561,14,70
3,917,14,70
7,878,14,70
9,1082,14,70
MRI,41,15,71
MRI,40,15,71
2,61,14,70
10,62,15,71
7,59,15,71
5,2022,14,70
2,535,15,71
2,263,15,71
10,395,14,70
9,69,14,70
7,70,16,72
5,31,16,72
6,215,16,72
7,67,16,72
5,851,16,72
9,969,16,72
6,227,16,72
8,773,16,72
1,109,14,70
2,62,17,73
3,32,17,73
3,408,15,71
5,43,17,73
7,63,17,73
4,197,17,73
10,2570,16,72
8,653,14,70
MRI,47,18,74
MRI,47,18,74
MRI,50,18,74
4,720,18,74
5,814,18,74
3,291,18,74
1,86,11,67
MRI,34,18,74
2,186,21,77
6,321,21,77
MRI,45,21,77
7,646,18,74
5,38,21,77
1,125,18,74
5,762,21,77
MRI,47,22,78
10,40,22,78
5,132,22,78
7,678,22,78
1,63,21,77
MRI,58,21,77
4,50,22,78
9,1093,21,77
2,412,22,78
5,57,23,79
4,34,22,78
6,148,23,79
4,117,23,79
6,179,23,79
5,841,23,79
7,40,23,79
9,74,23,79
1,78,22,78
4,107,24,80
4,81,23,79
1,84,23,79
MRI,43,25,81
4,960,25,81
9,912,23,79
3,136,11,67
8,381,21,77
3,300,25,81
9,2120,14,14
1,632,15,71
3,92,24,80
2,79,0,84
3,666,0,84
7,54,0,84
6,743,0,84
5,892,0,84
3,78,11,67
1,66,24,80
5,269,1,85
7,1876,0,84
6,193,4,60
3,24,1,85
MRI,126,21,77
1,66,0,84
5,143,1,85
MRI,66,1,85
2,141,1,85
4,53,16,72
2,134,1,85
4,192,2,86
2,45,1,85
3,192,2,86
8,182,2,86
4,39,2,86
