schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,90,0
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,90,0
3,3,40,0,45,0,100,13,45,5,35,1,40,1,85,9,50,0
3,3,40,0,45,0,100,12,45,5,35,1,40,1,85,9,50,0
3,3,40,0,45,0,100,10,45,4,35,1,40,1,80,9,50,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,8,50,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,8,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,8,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,7,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,7,0,0
3,3,40,0,45,0,95,10,45,4,35,1,34,1,80,7,0,0
3,3,40,0,45,0,90,10,40,4,30,1,34,1,80,7,0,0
3,3,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,90,10,40,4,30,1,34,1,75,7,0,0
4,4,40,0,45,0,95,10,45,4,35,1,34,1,85,7,80,0
4,4,40,0,45,0,100,11,45,4,35,2,40,2,85,5,80,1
4,4,40,0,45,0,100,13,45,4,35,4,40,2,85,5,80,1
4,4,40,0,45,0,100,12,45,4,35,5,40,2,85,5,90,1
4,4,40,0,45,0,100,15,45,4,35,6,40,2,85,5,90,1
4,4,40,0,45,0,100,15,45,4,35,8,40,2,85,5,90,1
4,4,40,0,45,0,100,15,45,4,35,10,40,2,85,6,90,1
4,4,40,0,45,0,100,14,45,4,35,9,40,2,85,6,50,1
4,4,40,0,45,0,100,12,45,4,35,4,40,2,85,6,50,1
4,4,40,0,45,0,100,11,45,4,35,4,40,2,80,6,50,1
4,4,40,0,45,0,95,11,45,4,35,4,34,2,80,6,50,1
4,4,40,0,45,0,95,11,45,4,35,3,34,2,80,6,0,1
4,4,40,0,45,0,95,11,45,4,35,3,34,2,80,6,0,1
4,4,40,0,45,0,95,11,45,4,35,2,34,2,80,6,0,1
4,4,40,0,45,0,95,11,45,4,35,2,34,2,80,6,0,1
4,4,40,0,45,0,95,11,45,4,35,2,34,2,80,6,0,0
4,4,40,0,45,0,90,11,40,4,30,2,34,2,80,6,0,0
4,4,40,0,45,0,90,11,40,4,30,2,34,2,75,6,0,0
5,5,40,0,35,0,80,11,30,4,25,2,22,2,75,6,0,0
5,5,40,0,35,0,80,11,30,4,25,2,22,2,75,6,0,0
5,5,40,0,35,0,80,11,30,4,25,2,22,2,75,6,0,0
5,5,40,0,35,0,80,11,30,4,25,2,22,2,75,6,0,0
5,5,40,0,35,0,80,11,30,4,25,2,22,2,75,6,0,0
5,5,40,0,35,0,80,11,30,4,25,2,22,2,75,6,0,0
5,5,40,0,35,0,85,11,30,4,25,2,33,2,105,6,0,0
5,5,40,0,35,0,85,9,30,4,25,2,33,2,105,5,0,0
5,5,40,0,35,0,85,9,30,4,25,2,33,2,105,5,0,0
5,5,40,0,35,0,85,8,30,4,25,2,33,2,105,4,0,0
5,5,40,0,35,0,85,8,30,4,25,2,33,2,105,4,0,0
5,5,40,0,35,0,85,8,30,4,25,2,33,2,105,4,0,0
5,5,40,0,35,0,85,8,30,4,25,2,33,2,105,4,0,0
5,5,40,0,35,0,85,7,30,4,25,2,33,2,105,3,0,0
5,5,40,0,35,0,85,7,30,4,25,2,33,2,105,3,0,0
5,5,40,0,35,0,80,7,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,6,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,6,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,6,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,5,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,5,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,5,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,5,30,4,25,2,22,2,80,3,0,0
5,5,40,0,35,0,80,5,30,4,25,2,22,2,75,3,0,0
6,6,40,0,35,0,80,5,30,4,25,2,22,2,45,3,0,0
6,6,40,0,35,0,80,5,30,4,25,2,22,2,45,3,0,0
6,6,40,0,35,0,80,5,30,4,25,2,22,2,45,3,0,0
6,6,40,0,35,0,80,5,30,4,25,2,22,2,45,3,0,0
